field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking
"link1_10","billing","","checkbox","10. [billing_procedure1_10] ([billing_modifier1_10])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure1_10] <> """"","","","","matrix1",""
"link1_11","billing","","checkbox","11. [billing_procedure1_11] ([billing_modifier1_11])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure1_11] <> """"","","","","matrix1",""
"link1_12","billing","","checkbox","12. [billing_procedure1_12] ([billing_modifier1_12])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure1_12] <> """"","","","","matrix1",""
"link1_13","billing","","checkbox","13. [billing_procedure1_13] ([billing_modifier1_13])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure1_13] <> """"","","","","matrix1",""
"link1_14","billing","","checkbox","14. [billing_procedure1_14] ([billing_modifier1_14])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure1_14] <> """"","","","","matrix1",""
"link1_15","billing","","checkbox","15. [billing_procedure1_15] ([billing_modifier1_15])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure1_15] <> """"","","","","matrix1",""
"multipliers1","billing","","descriptive","Multiplier(s)
11045 x [billing_id_quant1_3]
11046 x [billing_id_quant]
11047 x [billing_id_quant1_2]","","","","","","","[billing_id_quant1_3] <> """" or [billing_id_quant] <> """" or [billing_id_quant1_2] <> """"","","","","",""
"link1a","billing","***ASSISTANT BILL*** - [assistant]","checkbox","1. [billing_procedure] ([billing_modifier1a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [assistant] <> """" and [billing_procedure] <> """"","","","","matrix1a",""
"link1_2a","billing","","checkbox","2. [billing_procedure1_2] ([billing_modifier1_2a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [assistant] <> """" and [billing_procedure1_2] <> """"","","","","matrix1a",""
"link1_3a","billing","","checkbox","3. [billing_procedure1_3] ([billing_modifier1_3a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_3] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_4a","billing","","checkbox","4. [billing_procedure1_4] ([billing_modifier1_4a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_4] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_5a","billing","","checkbox","5. [billing_procedure1_5] ([billing_modifier1_5a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_5] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_6a","billing","","checkbox","6. [billing_procedure1_6] ([billing_modifier1_6a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_6] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_7a","billing","","checkbox","7. [billing_procedure1_7] ([billing_modifier1_7a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_7] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_8a","billing","","checkbox","8. [billing_procedure1_8] ([billing_modifier1_8a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_8] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_9a","billing","","checkbox","9. [billing_procedure1_9] ([billing_modifier1_9a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_9] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_10a","billing","","checkbox","10. [billing_procedure1_10] ([billing_modifier1_10a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_10] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_11a","billing","","checkbox","11. [billing_procedure1_11] ([billing_modifier1_11a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_11] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_12a","billing","","checkbox","12. [billing_procedure1_12] ([billing_modifier1_12a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_12] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_13a","billing","","checkbox","13. [billing_procedure1_13] ([billing_modifier1_13a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_13] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_14a","billing","","checkbox","14. [billing_procedure1_14] ([billing_modifier1_14a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_14] <> """" and [assistant] <> """"","","","","matrix1a",""
"link1_15a","billing","","checkbox","15. [billing_procedure1_15] ([billing_modifier1_15a])","1, [billing_diagnosis] | 2, [billing_diagnosis1_2] | 3, [billing_diagnosis1_3] | 4, [billing_diagnosis1_4] | 5, [billing_diagnosis1_5] | 6, [billing_diagnosis1_6] | 7, [billing_diagnosis1_7] | 8, [billing_diagnosis1_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant] <> '8' and [assistant] <> '9' and [billing_procedure1_15] <> """" and [assistant] <> """"","","","","matrix1a",""
"invoice1","billing","","text","Invoice Number","","","","","","","[billing_date] <> """"","","","","",""
"routing","billing","","dropdown","<font size=""4"">ROUTE BILL 1 TO:","1, Data Entry (Letha - Lena) | 2, Becky | 4, Gloria | 5, Patti | 6, Susan | 7, Stephanie - Kara | 9, Kelly Ryan | 11, Letha | 12, Lena | 10, BILL COMPLETE","","","","","","[billing_date] <> """"","Y","","","",""
"break11","billing","","descriptive","<span style=color:#DF013A> ======================================================================================== </span>","","","","","","","[billing_procedure] <> """"","","","","",""
"demographics_billing2","billing"," ","descriptive","<span style=color:#339933>
BILLING DATE:. . . . . . . . . . . [billing_date2]
Site: . . . . . . . . . . . . . . . . . . . .[site2]
Name: . . . . . . . . . . . . . . . . . . [consultation_arm_1][patient_last], [consultation_arm_1][patient_first]
MRN:. . . . . . . . . . . . . . . . . . . [registry_id]-[billing_fin2]
IDX / Allscripts ID:. . . . . . . . . [billing_idx_mrn]
Gender: . . . . . . . . . . . . . . . . . [consultation_arm_1][gender]
Date of Birth: . . . . . . . . . . . . . [consultation_arm_1][dob]
Age:. . . . . . . . . . . . . . . . . . . . [consultation_arm_1][age]
Admission Date: . . . . . . . . . . [billing_admit2] . . . . . . . . ([billing_consult2])
Insurance: . . . . . . . . . . . . . . . [billing_ins]
Surgeon (IDX ID - UPIN): . . . . [billing_surgeon2]
Assistant:. . . . . . . . . . . . . . . . [assistant2]
Referring Physician:. . . . . . . . [billing_refer2]

Comments:
[billing_notes2] </span>
---------------------------------------------------------------------------","","","","","","","[billing_date_end2] <> """"","","","","",""
"demographics_billing2_end","billing","","descriptive","<span style=color:#CC0000>
BILLING DATE:. . . . . . . . . . . [billing_date2]
Site: . . . . . . . . . . . . . . . . . . . .[site2]
Name: . . . . . . . . . . . . . . . . . . [consultation_arm_1][patient_last], [consultation_arm_1][patient_first]
MRN:. . . . . . . . . . . . . . . . . . . [registry_id]-[billing_fin2]
IDX / Allscripts ID:. . . . . . . . . [billing_idx_mrn]
Gender: . . . . . . . . . . . . . . . . . [consultation_arm_1][gender]
Date of Birth: . . . . . . . . . . . . . [consultation_arm_1][dob]
Age:. . . . . . . . . . . . . . . . . . . . [consultation_arm_1][age]
Admission Date: . . . . . . . . . . [billing_admit2] . . . . . . . . ([billing_consult2])
Insurance: . . . . . . . . . . . . . . . [billing_ins]
Surgeon (IDX ID - UPIN): . . . . [billing_surgeon2]
Assistant:. . . . . . . . . . . . . . . . [assistant2]
Referring Physician:. . . . . . . . [billing_refer2]

Comments:
[billing_notes2] </span>
---------------------------------------------------------------------------","","","","","","","[billing_date_end2] = """" and [billing_date2] <> """"","","","","",""
"link2_1","billing","","checkbox","1. [billing_procedure2] ([billing_modifier2])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2] <> """"","","","","matrix2",""
"link2_2","billing","","checkbox","2. [billing_procedure2_2] ([billing_modifier2_2])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_2] <> """"","","","","matrix2",""
"link2_3","billing","","checkbox","3. [billing_procedure2_3] ([billing_modifier2_3])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_3] <> """"","","","","matrix2",""
"link2_4","billing","","checkbox","4. [billing_procedure2_4] ([billing_modifier2_4])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_4] <> """"","","","","matrix2",""
"link2_5","billing","","checkbox","5. [billing_procedure2_5] ([billing_modifier2_5])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_5] <> """"","","","","matrix2",""
"link2_6","billing","","checkbox","6. [billing_procedure2_6] ([billing_modifier2_6])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_6] <> """"","","","","matrix2",""
"link2_7","billing","","checkbox","7. [billing_procedure2_7] ([billing_modifier2_7])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_7] <> """"","","","","matrix2",""
"link2_8","billing","","checkbox","8. [billing_procedure2_8] ([billing_modifier2_8])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_8] <> """"","","","","matrix2",""
"link2_9","billing","","checkbox","9. [billing_procedure2_9] ([billing_modifier2_9])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_9] <> """"","","","","matrix2",""
"link2_10","billing","","checkbox","10. [billing_procedure2_10] ([billing_modifier2_10])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_10] <> """"","","","","matrix2",""
"link2_11","billing","","checkbox","11. [billing_procedure2_11] ([billing_modifier2_11])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_11] <> """"","","","","matrix2",""
"link2_12","billing","","checkbox","12. [billing_procedure2_12] ([billing_modifier2_12])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_12] <> """"","","","","matrix2",""
"link2_13","billing","","checkbox","13. [billing_procedure2_13] ([billing_modifier2_13])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_10] <> """"","","","","matrix2",""
"link2_14","billing","","checkbox","14. [billing_procedure2_14] ([billing_modifier2_14])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_14] <> """"","","","","matrix2",""
"link2_15","billing","","checkbox","15. [billing_procedure2_15] ([billing_modifier2_15])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[billing_procedure2_15] <> """"","","","","matrix2",""
"multipliers2","billing","","descriptive","Multiplier(s)
11045 x [billing_id_quant2_3]
11046 x [billing_id_quant2]
11047 x [billing_id_quant2_2]","","","","","","","[billing_id_quant2_3] <> """" or [billing_id_quant2] <> """" or [billing_id_quant2_2] <> """"","","","","",""
"link2a","billing","***ASSISTANT BILL*** - [assistant2]","checkbox","1. [billing_procedure2] ([billing_modifier2a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_2a","billing","","checkbox","2. [billing_procedure2_2] ([billing_modifier2_2a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_2] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_3a","billing","","checkbox","3. [billing_procedure2_3] ([billing_modifier2_3a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_3] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_4a","billing","","checkbox","4. [billing_procedure2_4] ([billing_modifier2_4a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_4] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_5a","billing","","checkbox","5. [billing_procedure2_5] ([billing_modifier2_5a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_5] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_6a","billing","","checkbox","6. [billing_procedure2_6] ([billing_modifier2_6a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_6] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_7a","billing","","checkbox","7. [billing_procedure2_7] ([billing_modifier2_7a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_7] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_8a","billing","","checkbox","8. [billing_procedure2_8] ([billing_modifier2_8a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_8] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_9a","billing","","checkbox","9. [billing_procedure2_9] ([billing_modifier2_9a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_9] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_10a","billing","","checkbox","10. [billing_procedure2_10] ([billing_modifier2_10a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_10] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_11a","billing","","checkbox","11. [billing_procedure2_11] ([billing_modifier2_11a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_11] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_12a","billing","","checkbox","12. [billing_procedure2_12] ([billing_modifier2_12a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_12] <> """" and [assistant2] <> """"","","","","matrix2a",""
"link2_13a","billing","","checkbox","13. [billing_procedure2_13] ([billing_modifier2_13a])","1, [billing_diagnosis2] | 2, [billing_diagnosis2_2] | 3, [billing_diagnosis2_3] | 4, [billing_diagnosis2_4] | 5, [billing_diagnosis2_5] | 6, [billing_diagnosis2_6] | 7, [billing_diagnosis2_7] | 8, [billing_diagnosis2_8] | 9, <span style=color:#FF0000>FSC 52","","","","","","[assistant2] <> '8' and [assistant2] <> '9' and [billing_procedure2_13] <> """" and [assistant2] <> """"","","","","matrix2a",""
